CULTIVO,MAIZ
,
Etiquetas de fila,Promedio de Producción
LINARES,600.53125
LITORAL DEL SAN JUAN,37.23809524
LLORO,91.4
LOPEZ DE MICAY,145.7894737
LORICA,3628.642857
LOS ANDES,53.34782609
LOS CORDOBAS,979.0714286
LOS PALMITOS,377.9354839
LOS PATIOS,54.04166667
LOS SANTOS,197.1428571
LOURDES,11.16666667
LURUACO,344.4090909
MACANAL,183.25
MACARAVITA,98.36363636
MACEO,22.44444444
MACHETA,127.2
MADRID,636.48
MAGANGUE,1730.583333
MAGUI PAYAN,8.111111111
MAHATES,3393.791667
MAICAO,1775.8
MAJAGUAL,295.9285714
MALAGA,209.2916667
MALAMBO,85.83333333
MALLAMA,198.25
MANATI,221.1304348
MANAURE,489.2592593
MANI,93.68181818
MANIZALES,189.3333333
MANTA,83.6875
MANZANARES,81.375
MAPIRIPAN,760.56
MARGARITA,133.3913043
MARIA LA BAJA,4056.8
MARINILLA,927.125
MARIPI,26.54166667
MARIQUITA,468.3571429
MARMATO,42.27777778
MARQUETALIA,185.4705882
MARSELLA,133.9
MARULANDA,29.23529412
MATANZA,65.5
MEDINA,238.4545455
MEDIO ATRATO,28.86956522
MEDIO BAUDO,300.7083333
MEDIO SAN JUAN,106.5263158
MELGAR,71.96428571
MERCADERES,887.7083333
MESETAS,1208.85
MILAN,205.2105263
MIRAFLORES,370.3333333
MIRANDA,53.19230769
MISTRATO,41.85
MITU,88.54545455
MOÑITOS,559.25
MOCOA,294.1666667
MOGOTES,49.5
MOLAGAVITA,289.8666667
MOMIL,239.1071429
MOMPOS,266.875
MONGUA,41.25
MONGUI,13.58333333
MONIQUIRA,672.8181818
MONTAÑITA,136.375
MONTEBELLO,18.5
MONTECRISTO,1530.5
MONTELIBANO,999.75
MONTENEGRO,235.8285714
MONTERIA,7856.135135
MONTERREY,285.775
MORALES,909.6282051
MORELIA,19.04347826
MORROA,636.8125
MOSQUERA,242.2592593
MOTAVITA,24.46153846
MURILLO,29.11111111
MURINDO,114.6842105
MUTATA,47.53846154
MUZO,63.61111111
NARIÑO,242.5606061
NATAGA,40.66666667
NATAGAIMA,390.1538462
NECHI,276.0416667
NECOCLI,4261.038462
NEIRA,62.06666667
NEIVA,1692.604167
NILO,1
NIMAIMA,55.05882353
NOBSA,122.2857143
NOCAIMA,22
NORCASIA,17.2
NOROSI,731.7272727
NOVITA,47.91304348
NUEVA GRANADA,474.25
NUEVO COLON,90
NUNCHIA,129.1666667
NUQUI,41.61538462
OBANDO,6343.041667
OCAÑA,461.5714286
OCAMONTE,136.4761905
OIBA,181.7826087
OICATA,30
OLAYA,9.380952381
OLAYA HERRERA,25.61538462
ONZAGA,163.1818182
OPORAPA,253.5333333
ORITO,291.8095238
OROCUE,99.6875
ORTEGA,1496.35
OSPINA,283.1666667
OTANCHE,157.625
OVEJAS,1462.729167
PACHAVITA,32.70833333
PACHO,163
PACORA,59.62962963
PADILLA,89.68965517
PAEZ,559.3695652
PAICOL,118.6875
PAILITAS,502.8157895
PAIME,90.96
PAIPA,50.47058824
PAJARITO,53.21428571
PALERMO,398.8333333
PALESTINA,169.2878788
PALMAR,122.9130435
PALMAR DE VARELA,77.8
PALMAS DEL SOCORRO,125.5
PALMIRA,272.2222222
PALMITO,666.6382979
PALOCABILDO,126.7916667
PAMPLONA,167
PAMPLONITA,18.0952381
PANDI,101.5
PANQUEBA,25.71428571
PARAMO,113.4545455
PARATEBUENO,448.5652174
PASTO,518.4
PATIA,180.1875
PAUNA,41.73913043
PAYA,120.6111111
PAZ DE ARIPORO,113
PAZ DE RIO,51.46153846
PEÑOL,178.6153846
PEDRAZA,673
PELAYA,2534.595238
PENSILVANIA,72.4
PEQUE,36.5
PEREIRA,1825.241379
PESCA,30.6
PIAMONTE,115.75
PIEDECUESTA,119.3333333
PIEDRAS,2518.518519
PIENDAMO,40.75
PIJAO,27.37037037
PIJIÑO DEL CARMEN,352.875
PINCHOTE,141.0416667
PINILLOS,1132.173913
PIOJO,57.08333333
PISBA,55.41176471
PITAL,382.2708333
PITALITO,2051.020833
PIVIJAY,1214.958333
PLANADAS,426.375
PLANETA RICA,856.5
PLATO,315.25
POLICARPA,151.8846154
POLONUEVO,41.04761905
PONEDERA,902.6086957
POPAYAN,73.61538462
PORE,192.3125
POTOSI,56.57142857
PRADERA,108.5116279
PRADO,126.5454545
PROVIDENCIA,89.82352941
PUEBLO BELLO,302.6666667
PUEBLO NUEVO,510.9777778
PUEBLO RICO,106.125
PUEBLO VIEJO,337.6666667
PUENTE NACIONAL,34.21052632
PUERRES,29.5
PUERTO ASIS,253.3913043
PUERTO BERRIO,83.27272727
PUERTO BOYACA,368.1304348
PUERTO CAICEDO,280.375
PUERTO CARREÑO,214.4285714
PUERTO CONCORDIA,733.1666667
PUERTO ESCONDIDO,644.8571429
PUERTO GAITAN,29649.05405
PUERTO GUZMAN,955.0833333
PUERTO LEGUIZAMO,884.2083333
PUERTO LIBERTADOR,665.3333333
PUERTO LLERAS,1673.818182
PUERTO LOPEZ,10468.11628
PUERTO NARE,89.66666667
PUERTO NARIÑO,142.3636364
PUERTO PARRA,129.3157895
PUERTO RICO,228.6727273
PUERTO RONDON,66.36363636
PUERTO SALGAR,27.8
PUERTO SANTANDER,21.7
PUERTO TEJADA,243.8333333
PUERTO TRIUNFO,27.52631579
PUERTO WILCHES,1908.827586
PULI,215.3913043
PUPIALES,42.22222222
PURACE,30.48
PURIFICACION,210.9655172
PURISIMA,290.6071429
QUEBRADANEGRA,104.6521739
QUIBDO,189.2083333
QUIMBAYA,78.18421053
QUINCHIA,50.40909091
QUIPAMA,32.125
QUIPILE,194.7916667
RAGONVALIA,16.625
RAMIRIQUI,119.3846154
RAQUIRA,67
RECETOR,155.8333333
REGIDOR,335.862069
REMEDIOS,200.5454545
REMOLINO,249.0454545
REPELON,449
RESTREPO,114.9130435
RICAURTE,104.4680851
RIO DE ORO,279.0540541
RIO IRO,54.9
RIO QUITO,120.6666667
RIO VIEJO,877.7916667
RIOBLANCO,420.0625
RIOFRIO,180.8
RIOHACHA,2224.434783
RIONEGRO,346.4791667
RIOSUCIO,1471.106383
RISARALDA,416.3103448
RIVERA,470.625
ROBERTO PAYAN,35
ROLDANILLO,4106.5
RONCESVALLES,175.6923077
RONDON,59.22222222
ROSAS,31.83333333
ROVIRA,511.3461538
SABANA DE TORRES,408.2608696
SABANAGRANDE,89.91666667
SABANALARGA,59.74666667
SABANAS DE SAN ANGEL,496
SABOYA,771.3333333
SACAMA,54.17391304
SAHAGUN,1265.580645
SALADOBLANCO,348.4680851
SALAMINA,235.4047619
SALAZAR,32
SALDAÑA,819.516129
SALENTO,22.21212121
SALGAR,36.41176471
SAMACA,221.5454545
SAMANA,222.8333333
SAMANIEGO,396.3333333
SAMPUES,493.0930233
SAN AGUSTIN,762.9166667
SAN ALBERTO,395.9545455
SAN ANDRES,160.02
SAN ANDRES DE SOTAVENTO,1277.580645
SAN ANTERO,413.5909091
SAN ANTONIO,274.9047619
SAN BENITO,189.1
SAN BENITO ABAD,220.5135135
SAN BERNARDO,66.7755102
SAN BERNARDO DEL VIENTO,297.85
SAN CALIXTO,214.7083333
SAN CARLOS,1322.955224
SAN CARLOS DE GUAROA,352.5
SAN CAYETANO,68.08823529
SAN CRISTOBAL,174.0869565
SAN DIEGO,779.2142857
SAN EDUARDO,17.27586207
SAN ESTANISLAO,734.68
SAN FERNANDO,126.1666667
SAN FRANCISCO,57.87931034
SAN GIL,428.75
SAN JACINTO,2504.75
SAN JACINTO DEL CAUCA,983.0952381
SAN JERONIMO,6.6
SAN JOAQUIN,74.38888889
SAN JOSE,83.48571429
SAN JOSE DE MIRANDA,159.8076923
SAN JOSE DE PARE,95.8
SAN JOSE DE URE,114.4705882
SAN JOSE DEL FRAGUA,143.375
SAN JOSE DEL GUAVIARE,1947.904762
SAN JOSE DEL PALMAR,55.34782609
SAN JUAN DE ARAMA,897.6
SAN JUAN DE BETULIA,1479.777778
SAN JUAN DE RIOSECO,370.5909091
SAN JUAN DE URABA,740.5714286
SAN JUAN DEL CESAR,956
SAN JUAN NEPOMUCENO,5595.24
SAN JUANITO,514.7692308
SAN LORENZO,126.3333333
SAN LUIS,1634.617647
SAN LUIS DE CUBARRAL,101.5333333
SAN LUIS DE GACENO,226.2916667
SAN LUIS DE PALENQUE,228.125
SAN MARCOS,475.0208333
SAN MARTIN,940.4339623
SAN MARTIN DE LOBA,453
SAN MATEO,159.9259259
SAN MIGUEL,156.826087
SAN MIGUEL DE SEMA,186.8333333
SAN ONOFRE,526.3333333
SAN PABLO,811.6666667
SAN PABLO DE BORBUR,215.4347826
SAN PEDRO,218.587156
SAN PEDRO DE CARTAGO,113.8125
SAN PEDRO DE URABA,3342.875
SAN PELAYO,5472.909091
SAN ROQUE,39
SAN SEBASTIAN,301.125
SAN SEBASTIAN DE BUENAVISTA,681.6666667
SAN VICENTE,1152.416667
SAN VICENTE DE CHUCURI,254.4761905
SAN VICENTE DEL CAGUAN,1816.294118
SAN ZENON,391.7391304
SANDONA,205.3888889
SANTA ANA,618.8333333
SANTA BARBARA,20.18644068
SANTA BARBARA DE PINTO,398
SANTA CATALINA,229.6666667
SANTA HELENA DEL OPON,228.125
SANTA ISABEL,35
SANTA LUCIA,132.4594595
SANTA MARIA,184.9142857
SANTA MARTA,618.3333333
SANTA ROSA,102.2173913
SANTA ROSA DE CABAL,48.44
SANTA ROSA DE OSOS,15.81818182
SANTA ROSA DE VITERBO,61.46153846
SANTA ROSA DEL SUR,1288.541667
SANTA ROSALIA,58.13043478
SANTA SOFIA,37.41176471
SANTACRUZ,146.4444444
SANTAFE DE ANTIOQUIA,164.1666667
SANTANA,37.76923077
SANTANDER DE QUILICHAO,125.2727273
SANTIAGO,107.375
SANTO DOMINGO,15
